"tag","patterns","responses__001","context_set","responses__002","responses__003","responses__004"
"formation_info","Informations sur la formation en Commerce International","La Licence Professionnelle en Commerce International (LPCI) à l'ESGIS est une formation de 6 semestres (3 ans) dans le domaine de la Gestion.","","La formation comprend des cours en tronc commun pour les semestres 1 à 4 en présentiel, et des cours de spécialisation pour les semestres 5 et 6 en présentiel et en ligne.","Un stage obligatoire d'au moins deux mois est requis aux semestres 5 et 6, suivi de la rédaction et de la présentation d'un rapport.","Les objectifs de la formation incluent la capacité à mener des opérations de prospection et de vente à l'étranger, assurer le suivi administratif des opérations internationales et gérer les relations commerciales en langues étrangères."
"","Détails de la LPCI","","","","",""
"","Que puis-je savoir sur la Licence Professionnelle en Commerce International ?","","","","",""
"profil_entree","Profil d'entrée pour la LPCI","Cette formation est ouverte aux étudiants ayant au moins le BAC 2 séries C, D, G2, G3. Les étudiants ayant le BAC 2 séries A pourront être autorisés sous réserve d’une note supérieure ou égale à 10/20 en mathématiques.","","","",""
"","Conditions d'admission","","","","",""
"","Qui peut s'inscrire ?","","","","",""
"competences_attendues","Compétences attendues après la LPCI","Le futur diplômé d’une Licence Professionnelle en Commerce International peut être employé dans des organisations commerciales internationales, dans des PME et Grandes Entreprises (industrielles, de distribution et de restauration, etc.).","","Les compétences attendues incluent la gestion et le développement de portefeuilles clients sur le marché international, la gestion et le développement des produits sur le marché international, l'exportation et l'importation de produits, les prospections et les négociations commerciales à l'international, ainsi que la réalisation d'études de marché à l'étranger.","",""
"","Que vais-je apprendre ?","","","","",""
"","Aptitudes à acquérir","","","","",""
"debouches","Débouchés professionnels après la LPCI","Les diplômés de la LPCI peuvent exercer en tant que négociateurs internationaux, spécialistes d’achat et vente à l’international, chargés d’affaires export-import, chefs de produit international, chargés d’études commerciales au sein des organisations internationales, et bien plus encore.","","Les opportunités professionnelles sont variées et dépendent des compétences acquises.","",""
"","Quels sont les métiers possibles ?","","","","",""
"","Que puis-je faire après cette formation ?","","","","",""
"informations_formation","Quelles sont les informations sur la formation en MI?","La Licence professionnelle en Management International (MI) est une formation de 3 ans dans le domaine des Sciences Économiques et de Gestion. Elle comprend un tronc commun pendant les 4 premiers semestres, suivi d'une spécialisation en cours du soir pour les semestres 5 et 6.","","","",""
"","Dites-moi tout sur la formation MI.","","","","",""
"","Pouvez-vous m'en dire plus sur la Licence professionnelle en MI?","","","","",""
"conditions_admission","Quelles sont les conditions d'admission pour la LPMI?","La LPMI est ouverte aux étudiants ayant au moins le BAC 2 toutes séries ou tout diplôme équivalent.","","","",""
"","Qui peut s'inscrire à la LPMI?","","","","",""
"","Quel est le niveau d'études requis pour cette formation?","","","","",""
